palavra,count
o,19
de,18
e,14
da,12
a,11
do,9
com,5
clube,5
O,5
Copa,5
no,5
como,5
em,4
títulos,4
se,4
torneios,3
Vasco,3
ano,3
por,3
foi,3
primeiro,3
que,3
Torneio,3
Campeonato,3
dos,3
um,3
seu,2
Em,2
Campeões,2
é,2
conquistou,2
quatro,2
oficiais,2
bicampeão,2
tendo,2
Europa,2
Campeonatos,2
Gama,2
gols,2
sua,2
cruzmaltino,2
América,2
Já,2
ainda,2
grande,2
Brasil,2
"",2
(em,2
pela,2
na,2
conhecido,2
"AMEA,",1
respectivamente.[9],1
"Havelange),",1
"Carioca,",1
notável,1
(dentre,1
Real,1
"sul-americano,",1
sendo,1
período.[10],1
Paulo,1
Madrid,1
Século.,1
classes,1
154,1
"Menezes,",1
"Barassi,[11]",1
nacionais,1
dirigente,1
interestaduais,1
"negros,",1
carta,1
"ídolos,",1
"2011),",1
marcada,1
eleito,1
3,1
Corrêa,1
"1960\",",1
principal,1
elenco,1
maior,1
internacionais,1
pelos,1
tornou,1
artilheiro,1
"1989,",1
ascendeu,1
ídolo,1
"carioca,",1
intercontinentais,1
tornou-se,1
"Sul,",1
elogiada,1
Torneios,1
liga,1
oficial,1
derrotar,1
"possui,",1
negros,1
"Russinho,",1
Ottorino,1
Carioca,1
único,1
majoritariamente,1
"Palmeiras,",1
luta,1
atletas,1
apoio,1
entre,1
clubes,1
seguido,1
antes,1
imprensa.,1
Ademir,1
Mercosul,1
diversos,1
título,1
"\"Camisas",1
vigente,1
vencido,1
Rivadávia,1
"Rio,",1
"época,",1
"CBD,",1
sucessora,1
doze,1
"Brasileiro,",1
operárias.,1
Paris,1
descrita,1
jornalistas,1
Romário,1
João,1
qual,1
tratarem,1
naquele,1
pelo,1
edição.,1
franceses,1
"1998,",1
Roberto,1
maiores,1
à,1
dois,1
"2000,",1
estaduais,1
recusou,1
inúmeros,1
"FIFA,",1
seus,1
"duvidosa\".",1
190,1
âmbito,1
Sul-Americano,1
duelo,1
destaque,1
equipes,1
alegava,1
"final,",1
segundo,1
centenário.,1
FIFA.[12],1
dispensar,1
plantel,1
não-europeu,1
1997,1
disputa,1
"\"profissão",1
vascaíno,1
numa,1
1],1
futebol.[nota,1
"Histórica,",1
"Internacional,",1
encontro,1
Na,1
composto,1
Camisas,1
No,1
153,1
jogo,1
"nacionais,",1
Início,1
jogador,1
exibição,1
uma,1
Relâmpago).,1
pessoas,1
(três,1
"\"mais",1
melhores,1
orgulha,1
Liga,1
"gols,",1
inaugural,1
"1974,",1
Rio,1
"continental,",1
"seguida,",1
Libertadores,1
time,1
eles,1
outros,1
"Meyer,",1
terceira,1
Brasileiros,1
conquistado,1
"Dinamite,",1
"Vitória,",1
até,1
marca,1
Rio-São,1
vontade,1
possui,1
"antirracista,",1
vencendo,1
4,1
alguns,1
marcados.,1
Conquistou,1
campeão,1
históricos,1
continentes,1
as,1
Resposta,1
"1953,",1
organizada,1
artilheiros,1
atacante,1
"1923,",1
"Extra,",1
líder,1
Expresso,1
"Municipal,",1
"1957,",1
"Negras\",",1
Copas,1
futebol.,1
superou,1
"sul-americanos,",1
pernambucano,1
"maior,",1
301,1
amplamente,1
jogadores,1
contrariando,1
tratada,1
Octogonal,1
UEFA,1
Negras,1
"Intercontinental,",1
"Edmundo,",1
Ainda,1
Virada,1
dentre,1
competição,1
"2000),",1
